Name,Value,Timestamp,Step
"val_accuracy",0.859499990940094,1737260327805,1
"epoch",0,1737260327805,1
"val_accuracy",0.8669999837875366,1737260328183,1
"epoch",1,1737260328183,1
"val_accuracy",0.8610000014305115,1737260328601,1
"epoch",2,1737260328601,1
"val_accuracy",0.8654999732971191,1737260329004,1
"epoch",3,1737260329004,1
"val_accuracy",0.862500011920929,1737260329376,1
"epoch",4,1737260329376,1
"val_accuracy",0.8650000095367432,1737260329822,1
"epoch",5,1737260329822,1
"val_accuracy",0.8675000071525574,1737260330333,1
"epoch",6,1737260330333,1
"val_accuracy",0.8644999861717224,1737260330744,1
"epoch",7,1737260330744,1
"val_accuracy",0.8629999756813049,1737260331159,1
"epoch",8,1737260331159,1
"val_accuracy",0.8600000143051147,1737260331568,1
"epoch",9,1737260331568,1
"val_loss",0.32918354868888855,1737260332023,1
"epoch",0,1737260332023,1
"val_loss",0.32319825887680054,1737260332380,1
"epoch",1,1737260332380,1
"val_loss",0.3337516784667969,1737260332744,1
"epoch",2,1737260332744,1
"val_loss",0.32543832063674927,1737260333302,1
"epoch",3,1737260333302,1
"val_loss",0.3343348503112793,1737260334256,1
"epoch",4,1737260334256,1
"val_loss",0.32803019881248474,1737260335352,1
"epoch",5,1737260335352,1
"val_loss",0.3295883238315582,1737260336272,1
"epoch",6,1737260336272,1
"val_loss",0.33083444833755493,1737260337319,1
"epoch",7,1737260337319,1
"val_loss",0.33168041706085205,1737260338342,1
"epoch",8,1737260338342,1
"val_loss",0.3290775418281555,1737260339345,1
"epoch",9,1737260339345,1
"accuracy",0.8585000038146973,1737260340374,1
"epoch",0,1737260340374,1
"accuracy",0.8607500195503235,1737260341427,1
"epoch",1,1737260341427,1
"accuracy",0.8644999861717224,1737260342315,1
"epoch",2,1737260342315,1
"accuracy",0.8618749976158142,1737260343444,1
"epoch",3,1737260343444,1
"accuracy",0.8648750185966492,1737260344368,1
"epoch",4,1737260344368,1
"accuracy",0.8628749847412109,1737260345255,1
"epoch",5,1737260345255,1
"accuracy",0.8652499914169312,1737260346328,1
"epoch",6,1737260346328,1
"accuracy",0.8646249771118164,1737260347272,1
"epoch",7,1737260347272,1
"accuracy",0.8608750104904175,1737260348302,1
"epoch",8,1737260348302,1
"accuracy",0.8638749718666077,1737260349298,1
"epoch",9,1737260349298,1
"loss",0.3370543122291565,1737260350322,1
"epoch",0,1737260350322,1
"loss",0.33182603120803833,1737260351534,1
"epoch",1,1737260351534,1
"loss",0.33221104741096497,1737260352352,1
"epoch",2,1737260352352,1
"loss",0.33473414182662964,1737260353427,1
"epoch",3,1737260353427,1
"loss",0.32865074276924133,1737260354400,1
"epoch",4,1737260354400,1
"loss",0.3331615924835205,1737260355255,1
"epoch",5,1737260355255,1
"loss",0.3344442546367645,1737260356346,1
"epoch",6,1737260356346,1
"loss",0.33034685254096985,1737260357366,1
"epoch",7,1737260357366,1
"loss",0.33194905519485474,1737260358392,1
"epoch",8,1737260358392,1
"loss",0.3301180303096771,1737260359353,1
"epoch",9,1737260359353,1
